source_ip,destination_ip,source_port,destination_port,protocol,length
10.213.61.167,10.137.89.62,18318,53,TCP,271
10.63.78.230,10.246.134.252,64959,22,ICMP,601
10.34.215.197,10.21.250.25,53415,80,UDP,478
10.117.91.80,10.86.194.179,30913,53,ICMP,744
10.252.41.33,10.201.211.202,61110,22,UDP,88
10.4.254.163,10.173.114.115,22775,123,ICMP,774
10.61.130.32,10.21.55.249,2556,25,UDP,751
10.21.84.155,10.164.108.83,4416,110,TCP,230
10.70.72.138,10.127.218.206,36437,25,ICMP,1473
10.62.219.92,10.246.92.20,18508,443,TCP,469
10.151.8.249,10.2.144.225,24850,110,ICMP,899
10.46.238.167,10.229.172.255,55360,53,ICMP,262
10.11.67.157,10.51.105.220,7855,25,TCP,1260
10.207.250.229,10.146.105.239,8796,443,UDP,1141
10.210.110.92,10.35.116.232,54697,53,ICMP,160
10.151.112.156,10.37.8.5,6135,80,UDP,1089
10.185.174.123,10.52.244.157,12660,21,UDP,403
10.118.255.197,10.84.206.65,3129,53,UDP,1192
10.5.176.47,10.107.160.21,39958,53,UDP,1437
10.70.47.16,10.93.173.5,7675,53,TCP,749
10.5.194.170,10.71.120.133,22298,443,TCP,643
10.254.92.162,10.170.212.239,5383,443,UDP,635
10.212.205.28,10.21.126.51,8348,443,TCP,1107
10.234.97.88,10.137.179.33,1120,123,TCP,727
10.123.24.244,10.10.22.53,5207,443,UDP,1465
10.21.234.241,10.152.115.140,26590,80,ICMP,330
10.157.133.116,10.201.20.178,48883,123,UDP,1375
10.212.52.252,10.86.237.64,59025,22,UDP,133
10.169.59.223,10.185.245.126,64234,22,UDP,434
10.217.144.255,10.166.68.77,56913,21,TCP,1239
10.243.55.253,10.199.131.100,28729,22,TCP,186
10.85.164.190,10.111.175.131,32908,25,TCP,1015
10.98.220.131,10.99.246.154,46313,80,ICMP,1361
10.152.252.91,10.97.238.40,46775,123,UDP,115
10.140.212.47,10.128.189.53,7266,110,TCP,951
10.46.138.69,10.195.253.16,50775,53,UDP,1448
10.77.239.61,10.15.189.42,56522,80,ICMP,1316
10.57.184.238,10.203.102.255,52790,53,UDP,1043
10.94.1.227,10.46.124.43,63571,80,TCP,291
10.45.208.173,10.138.132.199,17998,80,UDP,1264
10.115.2.224,10.6.200.106,34182,123,ICMP,1260
10.104.202.208,10.241.225.112,25091,53,ICMP,811
