Network Rules Log
Generated: 24/05/2025 1:55:22 pm
=================================
[Rule: Allow Corp Web HTTPS]
  Source: ANY:-1
  Destination: 10.0.1.0/24:443
  Protocol: TCP
  Action: ALLOW
  Priority: 50
---------------------------------
[Rule: Allow Corp Web HTTP]
  Source: ANY:-1
  Destination: 10.0.1.0/24:80
  Protocol: TCP
  Action: ALLOW
  Priority: 40
---------------------------------
[Rule: Allow FTP (Work Hours)]
  Source: ANY:-1
  Destination: ANY:62774
  Protocol: TCP
  Action: ALLOW
  Priority: 30
---------------------------------
[Rule: Block Bad Site]
  Source: ANY:-1
  Destination: 6.6.6.6:-1
  Protocol: ANY
  Action: DENY
  Priority: 100
---------------------------------
[Rule: Override Block Bad Site]
  Source: ANY:-1
  Destination: 6.6.6.6:-1
  Protocol: ANY
  Action: ALLOW
  Priority: 110
---------------------------------
[Rule: Log All Web to Corp]
  Source: ANY:-1
  Destination: 10.0.1.0/24:443
  Protocol: TCP
  Action: LOG
  Priority: 45
---------------------------------
[Rule: Allow Local DNS]
  Source: ANY:-1
  Destination: ANY:53
  Protocol: UDP
  Action: ALLOW
  Priority: 60
---------------------------------
[Rule: Allow Local DNS]
  Source: ANY:-1
  Destination: ANY:53
  Protocol: TCP
  Action: ALLOW
  Priority: 60
---------------------------------
[Rule: Allow DHCP]
  Source: ANY:68
  Destination: ANY:67
  Protocol: UDP
  Action: ALLOW
  Priority: 70
---------------------------------
[Rule: New Rule 10]
  Source: ANY:-1
  Destination: ANY:-1
  Protocol: TCP
  Action: DENY
  Priority: 50
---------------------------------
Sat May 24 16:16:57 2025 - SrcIP: 192.168.100.71, DstIP: 140.82.112.21, SrcPort: 52309, DstPort: 443, Proto: TCP - Action: DENY
Sat May 24 16:18:20 2025 - SrcIP: 52.182.143.210, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52318, Proto: TCP - Action: DENY
Sat May 24 16:18:22 2025 - SrcIP: 0.0.1.7, DstIP: 0.0.0.0, SrcPort: 24588, DstPort: 3780, Proto: OTHER - Action: DENY
Sat May 24 16:18:26 2025 - SrcIP: 192.168.100.1, DstIP: 239.255.255.250, SrcPort: 37418, DstPort: 1900, Proto: UDP - Action: DENY
Sat May 24 16:18:29 2025 - SrcIP: 0.0.0.0, DstIP: 57.115.171.164, SrcPort: 24581, DstPort: 27450, Proto: OTHER - Action: DENY
Sat May 24 16:18:30 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24580, DstPort: 34824, Proto: OTHER - Action: DENY
Sat May 24 16:18:31 2025 - SrcIP: 38.3.16.64, DstIP: 10.6.0.6, SrcPort: 0, DstPort: 34525, Proto: OTHER - Action: DENY
Sat May 24 16:18:32 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24580, DstPort: 34824, Proto: OTHER - Action: DENY
Sat May 24 16:18:34 2025 - SrcIP: 0.11.134.89, DstIP: 205.235.137.75, SrcPort: 24583, DstPort: 37046, Proto: OTHER - Action: DENY
Sat May 24 16:18:36 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24580, DstPort: 34824, Proto: OTHER - Action: DENY
Sat May 24 16:18:37 2025 - SrcIP: 0.11.134.89, DstIP: 205.235.137.75, SrcPort: 24577, DstPort: 17875, Proto: OTHER - Action: DENY
Sat May 24 16:18:38 2025 - SrcIP: 0.51.0.0, DstIP: 0.0.0.0, SrcPort: 24586, DstPort: 20553, Proto: OTHER - Action: DENY
Sat May 24 16:18:39 2025 - SrcIP: 0.11.134.89, DstIP: 205.235.137.75, SrcPort: 24589, DstPort: 391, Proto: OTHER - Action: DENY
Sat May 24 16:18:41 2025 - SrcIP: 0.0.0.0, DstIP: 57.115.171.164, SrcPort: 24589, DstPort: 31264, Proto: OTHER - Action: DENY
Sat May 24 16:18:43 2025 - SrcIP: 0.0.0.0, DstIP: 57.115.171.164, SrcPort: 24576, DstPort: 10808, Proto: OTHER - Action: DENY
Sat May 24 16:18:44 2025 - SrcIP: 0.11.134.89, DstIP: 205.235.137.75, SrcPort: 24578, DstPort: 13452, Proto: OTHER - Action: DENY
Sat May 24 16:55:07 2025 - SrcIP: 140.82.114.21, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52453, Proto: TCP - Action: DENY
Sat May 24 16:55:11 2025 - SrcIP: 192.168.100.97, DstIP: 239.255.255.250, SrcPort: 45014, DstPort: 1900, Proto: UDP - Action: DENY
Sat May 24 16:55:13 2025 - SrcIP: 192.168.100.71, DstIP: 13.69.116.104, SrcPort: 52417, DstPort: 443, Proto: TCP - Action: DENY
Sat May 24 16:55:14 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24585, DstPort: 17988, Proto: OTHER - Action: DENY
Sat May 24 18:08:23 2025 - SrcIP: 20.189.173.25, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52655, Proto: TCP - Action: DENY
Sat May 24 18:08:28 2025 - SrcIP: 0.0.0.0, DstIP: 57.115.171.164, SrcPort: 24587, DstPort: 13137, Proto: OTHER - Action: DENY
Sat May 24 18:08:29 2025 - SrcIP: 112.106.161.138, DstIP: 192.168.100.71, SrcPort: 10443, DstPort: 52658, Proto: TCP - Action: DENY
Sat May 24 18:08:30 2025 - SrcIP: 192.168.100.71, DstIP: 112.106.161.138, SrcPort: 52658, DstPort: 10443, Proto: TCP - Action: DENY
Sat May 24 18:08:31 2025 - SrcIP: 192.168.100.71, DstIP: 112.106.161.138, SrcPort: 52658, DstPort: 10443, Proto: TCP - Action: DENY
Sat May 24 18:08:32 2025 - SrcIP: 0.0.0.0, DstIP: 255.255.255.255, SrcPort: 68, DstPort: 67, Proto: UDP - Action: ALLOW
Sat May 24 18:08:35 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24578, DstPort: 49852, Proto: OTHER - Action: DENY
Sat May 24 18:08:36 2025 - SrcIP: 192.168.100.71, DstIP: 20.207.73.85, SrcPort: 52657, DstPort: 443, Proto: TCP - Action: DENY
Sat May 24 18:08:39 2025 - SrcIP: 0.11.134.89, DstIP: 205.235.137.75, SrcPort: 24577, DstPort: 17875, Proto: OTHER - Action: DENY
Sat May 24 18:08:44 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24578, DstPort: 49852, Proto: OTHER - Action: DENY
Sat May 24 18:13:44 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24578, DstPort: 49852, Proto: OTHER - Action: DENY
Sat May 24 18:13:45 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24578, DstPort: 49852, Proto: OTHER - Action: DENY
Sat May 24 18:13:47 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24578, DstPort: 49852, Proto: OTHER - Action: DENY
Sat May 24 18:13:50 2025 - SrcIP: 192.168.100.71, DstIP: 20.189.173.11, SrcPort: 52673, DstPort: 443, Proto: TCP - Action: DENY
Sat May 24 18:13:51 2025 - SrcIP: 192.168.100.71, DstIP: 20.189.173.11, SrcPort: 52672, DstPort: 443, Proto: TCP - Action: DENY
Sat May 24 18:13:58 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24578, DstPort: 49852, Proto: OTHER - Action: DENY
Sat May 24 18:13:59 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24578, DstPort: 49852, Proto: OTHER - Action: DENY
Sat May 24 18:14:00 2025 - SrcIP: 0.0.0.0, DstIP: 57.115.171.164, SrcPort: 24587, DstPort: 26381, Proto: OTHER - Action: DENY
Sat May 24 18:14:01 2025 - SrcIP: 52.167.200.126, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52675, Proto: TCP - Action: DENY
Sat May 24 18:14:04 2025 - SrcIP: 0.0.0.0, DstIP: 57.115.171.164, SrcPort: 24576, DstPort: 0, Proto: OTHER - Action: DENY
Sat May 24 18:21:14 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24590, DstPort: 14278, Proto: OTHER - Action: DENY
Sat May 24 18:21:15 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24590, DstPort: 14278, Proto: OTHER - Action: DENY
Sat May 24 19:50:06 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24586, DstPort: 18082, Proto: OTHER - Action: DENY
Sat May 24 19:50:07 2025 - SrcIP: 12.12.12.12, DstIP: 0.0.0.0, SrcPort: 24590, DstPort: 12417, Proto: OTHER - Action: DENY
Sat May 24 19:50:08 2025 - SrcIP: 140.82.112.21, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52799, Proto: TCP - Action: DENY
Sat May 24 19:50:22 2025 - SrcIP: 150.171.27.11, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52833, Proto: TCP - Action: DENY
Sat May 24 19:50:24 2025 - SrcIP: 131.253.33.203, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52843, Proto: TCP - Action: DENY
Sat May 24 19:50:26 2025 - SrcIP: 131.253.33.203, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52829, Proto: TCP - Action: DENY
Sat May 24 19:50:29 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24586, DstPort: 18082, Proto: OTHER - Action: DENY
Sat May 24 19:50:30 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24586, DstPort: 18082, Proto: OTHER - Action: DENY
Sat May 24 19:51:52 2025 - SrcIP: 18.64.141.65, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52840, Proto: TCP - Action: DENY
Sat May 24 19:51:53 2025 - SrcIP: 52.231.230.148, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52836, Proto: TCP - Action: DENY
Sat May 24 19:51:54 2025 - SrcIP: 0.51.0.1, DstIP: 0.0.0.0, SrcPort: 24581, DstPort: 12338, Proto: OTHER - Action: DENY
Sat May 24 19:51:56 2025 - SrcIP: 0.51.0.0, DstIP: 0.0.0.0, SrcPort: 24577, DstPort: 55432, Proto: OTHER - Action: DENY
Sat May 24 19:51:58 2025 - SrcIP: 192.168.100.71, DstIP: 20.42.65.94, SrcPort: 52793, DstPort: 443, Proto: TCP - Action: DENY
Sat May 24 19:51:59 2025 - SrcIP: 20.42.65.94, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52793, Proto: TCP - Action: DENY
Sat May 24 20:00:27 2025 - SrcIP: 192.168.100.22, DstIP: 239.255.255.250, SrcPort: 5632, DstPort: 64004, Proto: OTHER - Action: DENY
Sat May 24 20:00:28 2025 - SrcIP: 20.42.73.24, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52858, Proto: TCP - Action: DENY
Sat May 24 20:01:24 2025 - SrcIP: 0.0.0.0, DstIP: 57.115.171.164, SrcPort: 24576, DstPort: 0, Proto: OTHER - Action: DENY
Sat May 24 20:01:25 2025 - SrcIP: 0.11.134.89, DstIP: 205.235.137.75, SrcPort: 24590, DstPort: 53185, Proto: OTHER - Action: DENY
Sat May 24 20:02:31 2025 - SrcIP: 10.10.10.3, DstIP: 224.0.0.1, SrcPort: 4452, DstPort: 61083, Proto: OTHER - Action: DENY
Sat May 24 20:02:32 2025 - SrcIP: 225.234.192.168, DstIP: 100.71.72.253, SrcPort: 1, DstPort: 2048, Proto: OTHER - Action: DENY
Sat May 24 20:04:59 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24588, DstPort: 42432, Proto: OTHER - Action: DENY
Sat May 24 20:05:01 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24588, DstPort: 42432, Proto: OTHER - Action: DENY
Sat May 24 20:05:03 2025 - SrcIP: 192.168.100.71, DstIP: 20.42.65.91, SrcPort: 52864, DstPort: 443, Proto: TCP - Action: DENY
Sat May 24 20:05:04 2025 - SrcIP: 192.168.100.71, DstIP: 20.42.65.91, SrcPort: 52864, DstPort: 443, Proto: TCP - Action: DENY
Sat May 24 20:05:06 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24584, DstPort: 6858, Proto: OTHER - Action: DENY
Sat May 24 20:05:08 2025 - SrcIP: 225.234.192.168, DstIP: 100.71.72.253, SrcPort: 1, DstPort: 2048, Proto: OTHER - Action: DENY
Sat May 24 20:05:14 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24584, DstPort: 6858, Proto: OTHER - Action: DENY
Sat May 24 20:05:15 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24584, DstPort: 6858, Proto: OTHER - Action: DENY
Sat May 24 20:05:17 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24584, DstPort: 6858, Proto: OTHER - Action: DENY
Sat May 24 20:05:21 2025 - SrcIP: 0.11.134.89, DstIP: 205.235.137.75, SrcPort: 24588, DstPort: 55556, Proto: OTHER - Action: DENY
Sat May 24 20:08:59 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24584, DstPort: 6858, Proto: OTHER - Action: DENY
Sat May 24 20:09:00 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24584, DstPort: 6858, Proto: OTHER - Action: DENY
Sat May 24 20:09:02 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24584, DstPort: 6858, Proto: OTHER - Action: DENY
Sat May 24 20:09:04 2025 - SrcIP: 225.234.192.168, DstIP: 100.71.72.253, SrcPort: 1, DstPort: 2048, Proto: OTHER - Action: DENY
Sat May 24 20:09:06 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24584, DstPort: 6858, Proto: OTHER - Action: DENY
Sat May 24 20:09:07 2025 - SrcIP: 0.11.134.89, DstIP: 205.235.137.75, SrcPort: 24588, DstPort: 55556, Proto: OTHER - Action: DENY
Sat May 24 20:09:09 2025 - SrcIP: 0.11.134.89, DstIP: 205.235.137.75, SrcPort: 24585, DstPort: 2604, Proto: OTHER - Action: DENY
Sat May 24 20:09:11 2025 - SrcIP: 20.42.73.31, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52869, Proto: TCP - Action: DENY
Sat May 24 20:09:14 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24584, DstPort: 6858, Proto: OTHER - Action: DENY
Sat May 24 20:09:15 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24584, DstPort: 6858, Proto: OTHER - Action: DENY
Sat May 24 20:10:37 2025 - SrcIP: 0.11.134.89, DstIP: 205.235.137.75, SrcPort: 24588, DstPort: 55556, Proto: OTHER - Action: DENY
Sat May 24 20:10:38 2025 - SrcIP: 12.12.12.12, DstIP: 0.0.0.0, SrcPort: 24585, DstPort: 1112, Proto: OTHER - Action: DENY
Sat May 24 20:10:39 2025 - SrcIP: 192.168.100.71, DstIP: 20.42.65.91, SrcPort: 52864, DstPort: 443, Proto: TCP - Action: DENY
Sat May 24 20:10:40 2025 - SrcIP: 20.42.65.91, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52864, Proto: TCP - Action: DENY
Sat May 24 20:10:41 2025 - SrcIP: 0.0.0.0, DstIP: 152.120.174.255, SrcPort: 24584, DstPort: 6954, Proto: OTHER - Action: DENY
Sat May 24 20:10:42 2025 - SrcIP: 104.215.41.138, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52871, Proto: TCP - Action: DENY
Sat May 24 20:10:43 2025 - SrcIP: 23.37.189.19, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52877, Proto: TCP - Action: DENY
Sat May 24 20:10:44 2025 - SrcIP: 225.234.192.168, DstIP: 100.71.72.253, SrcPort: 1, DstPort: 2048, Proto: OTHER - Action: DENY
Sat May 24 20:10:45 2025 - SrcIP: 225.234.192.168, DstIP: 100.71.72.253, SrcPort: 1, DstPort: 2048, Proto: OTHER - Action: DENY
Sat May 24 20:10:47 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:10:51 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:10:52 2025 - SrcIP: 192.168.100.22, DstIP: 239.255.255.250, SrcPort: 5632, DstPort: 64004, Proto: OTHER - Action: DENY
Sat May 24 20:11:14 2025 - SrcIP: 23.37.189.19, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52877, Proto: TCP - Action: DENY
Sat May 24 20:11:15 2025 - SrcIP: 20.190.145.160, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52873, Proto: TCP - Action: DENY
Sat May 24 20:11:17 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:11:20 2025 - SrcIP: 52.182.143.213, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52885, Proto: TCP - Action: DENY
Sat May 24 20:11:21 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:11:22 2025 - SrcIP: 0.11.134.89, DstIP: 205.235.137.75, SrcPort: 24588, DstPort: 55556, Proto: OTHER - Action: DENY
Sat May 24 20:11:25 2025 - SrcIP: 225.234.192.168, DstIP: 100.71.72.253, SrcPort: 1, DstPort: 2048, Proto: OTHER - Action: DENY
Sat May 24 20:11:29 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:11:30 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:11:31 2025 - SrcIP: 20.190.145.160, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52873, Proto: TCP - Action: DENY
Sat May 24 20:11:55 2025 - SrcIP: 0.11.134.89, DstIP: 205.235.137.75, SrcPort: 24590, DstPort: 53185, Proto: OTHER - Action: DENY
Sat May 24 20:11:59 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:12:00 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:12:02 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:12:04 2025 - SrcIP: 192.168.100.1, DstIP: 239.255.255.250, SrcPort: 37418, DstPort: 1900, Proto: UDP - Action: DENY
Sat May 24 20:12:06 2025 - SrcIP: 192.168.100.1, DstIP: 239.255.255.250, SrcPort: 37418, DstPort: 1900, Proto: UDP - Action: DENY
Sat May 24 20:12:07 2025 - SrcIP: 0.0.0.0, DstIP: 152.120.174.255, SrcPort: 24584, DstPort: 6954, Proto: OTHER - Action: DENY
Sat May 24 20:12:08 2025 - SrcIP: 0.11.134.89, DstIP: 205.235.137.75, SrcPort: 24588, DstPort: 55556, Proto: OTHER - Action: DENY
Sat May 24 20:12:10 2025 - SrcIP: 0.11.134.89, DstIP: 205.235.137.75, SrcPort: 24585, DstPort: 2604, Proto: OTHER - Action: DENY
Sat May 24 20:12:14 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:12:15 2025 - SrcIP: 104.215.41.138, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52871, Proto: TCP - Action: DENY
Sat May 24 20:12:17 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:12:21 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:12:26 2025 - SrcIP: 0.0.0.0, DstIP: 152.120.174.255, SrcPort: 24584, DstPort: 6954, Proto: OTHER - Action: DENY
Sat May 24 20:12:29 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:12:30 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:12:31 2025 - SrcIP: 192.168.100.71, DstIP: 52.168.112.67, SrcPort: 52889, DstPort: 443, Proto: TCP - Action: DENY
Sat May 24 20:12:32 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:12:36 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:12:40 2025 - SrcIP: 104.215.41.138, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52871, Proto: TCP - Action: DENY
Sat May 24 20:12:43 2025 - SrcIP: 192.168.100.71, DstIP: 192.168.100.255, SrcPort: 137, DstPort: 137, Proto: UDP - Action: DENY
Sat May 24 20:12:44 2025 - SrcIP: 192.168.100.71, DstIP: 2.16.158.80, SrcPort: 52890, DstPort: 443, Proto: TCP - Action: DENY
Sat May 24 20:12:44 2025 - SrcIP: 2.16.158.48, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52897, Proto: TCP - Action: DENY
Sat May 24 20:12:44 2025 - SrcIP: 0.11.134.89, DstIP: 205.235.137.75, SrcPort: 24579, DstPort: 48759, Proto: OTHER - Action: DENY
Sat May 24 20:12:45 2025 - SrcIP: 192.168.100.71, DstIP: 2.16.158.80, SrcPort: 52890, DstPort: 443, Proto: TCP - Action: DENY
Sat May 24 20:13:21 2025 - SrcIP: 204.79.197.222, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52901, Proto: TCP - Action: DENY
Sat May 24 20:13:22 2025 - SrcIP: 20.207.73.85, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52913, Proto: TCP - Action: DENY
Sat May 24 20:13:25 2025 - SrcIP: 204.79.197.222, DstIP: 192.168.100.71, SrcPort: 443, DstPort: 52901, Proto: TCP - Action: DENY
Sat May 24 20:13:26 2025 - SrcIP: 192.168.100.71, DstIP: 192.168.100.1, SrcPort: 2048, DstPort: 19801, Proto: OTHER - Action: DENY
Sat May 24 20:13:27 2025 - SrcIP: 192.168.100.71, DstIP: 192.168.100.1, SrcPort: 2048, DstPort: 19800, Proto: OTHER - Action: DENY
Sat May 24 20:13:28 2025 - SrcIP: 192.168.100.71, DstIP: 192.168.100.1, SrcPort: 2048, DstPort: 19799, Proto: OTHER - Action: DENY
Sat May 24 20:13:29 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:13:30 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:13:32 2025 - SrcIP: 0.0.0.0, DstIP: 47.128.147.59, SrcPort: 24579, DstPort: 36820, Proto: OTHER - Action: DENY
Sat May 24 20:13:33 2025 - SrcIP: 192.168.100.71, DstIP: 192.168.100.1, SrcPort: 2048, DstPort: 19798, Proto: OTHER - Action: DENY
