SrcIP: 23.192.192.168, DstIP: 54.171.0.0, SrcPort: 1, DstPort: 2048, Proto: OTHER
Tue May 20 06:50:31 2025 - SrcIP: 34.237.73.95, DstIP: 192.168.54.177, SrcPort: 443, DstPort: 51337, Proto: TCP - Action: DENY
Tue May 20 06:50:32 2025 - SrcIP: 192.168.54.177, DstIP: 37.111.186.51, SrcPort: 50072, DstPort: 443, Proto: TCP - Action: DENY
Wed May 21 07:09:16 2025 - SrcIP: 192.168.18.145, DstIP: 35.174.127.31, SrcPort: 52095, DstPort: 443, Proto: TCP - Action: DENY
Wed May 21 07:09:17 2025 - SrcIP: 0.8.8.192, DstIP: 165.234.90.22, SrcPort: 24584, DstPort: 41418, Proto: OTHER - Action: DENY
Wed May 21 07:09:18 2025 - SrcIP: 64.24.8.6, DstIP: 0.0.0.0, SrcPort: 24576, DstPort: 0, Proto: OTHER - Action: DENY
Wed May 21 07:09:19 2025 - SrcIP: 0.8.8.192, DstIP: 165.234.90.22, SrcPort: 24580, DstPort: 15172, Proto: OTHER - Action: DENY
Wed May 21 07:09:20 2025 - SrcIP: 12.12.12.16, DstIP: 0.0.0.0, SrcPort: 24576, DstPort: 21277, Proto: OTHER - Action: DENY
Wed May 21 07:09:21 2025 - SrcIP: 192.168.18.145, DstIP: 34.237.73.95, SrcPort: 53085, DstPort: 443, Proto: TCP - Action: DENY
Wed May 21 07:09:22 2025 - SrcIP: 34.237.73.95, DstIP: 192.168.18.145, SrcPort: 443, DstPort: 53085, Proto: TCP - Action: DENY
Wed May 21 07:09:23 2025 - SrcIP: 0.8.8.192, DstIP: 165.234.90.22, SrcPort: 24590, DstPort: 48436, Proto: OTHER - Action: DENY
Wed May 21 07:09:24 2025 - SrcIP: 0.8.8.192, DstIP: 165.234.90.22, SrcPort: 24590, DstPort: 48436, Proto: OTHER - Action: DENY
Wed May 21 07:09:25 2025 - SrcIP: 64.24.8.6, DstIP: 0.0.0.0, SrcPort: 24576, DstPort: 0, Proto: OTHER - Action: DENY
